[MAP_INFO]
levelWidth=5000
isUnderwater=false

[PHYSICS]
gravity=0.5
jumpStrength=-11.0
speed=10.0
friction=0.85

[PLATFORMS]
# x, y, width, height
# 레이싱 트랙 - 수상 스키 코스
0, 550, 5000, 20

# 벽
-50, 0, 50, 720
5000, 0, 50, 720

# 레이싱 장애물 - 점프 램프
400, 530, 100, 20
800, 530, 100, 20
1200, 530, 100, 20
1600, 530, 100, 20
2000, 530, 100, 20
2400, 530, 100, 20
2800, 530, 100, 20
3200, 530, 100, 20
3600, 530, 100, 20
4000, 530, 100, 20

# 레이싱 장애물 - 높은 장애물
600, 450, 80, 20
1000, 420, 80, 20
1400, 460, 80, 20
1800, 430, 80, 20
2200, 450, 80, 20
2600, 420, 80, 20
3000, 460, 80, 20
3400, 430, 80, 20
3800, 450, 80, 20
4200, 420, 80, 20

# 레이싱 장애물 - 최상층
750, 350, 60, 20
1150, 320, 60, 20
1550, 360, 60, 20
1950, 330, 60, 20
2350, 350, 60, 20
2750, 320, 60, 20
3150, 360, 60, 20
3550, 330, 60, 20
3950, 350, 60, 20
4350, 320, 60, 20

[BREAKABLE_PLATFORMS]
# x, y, width, height
# 레이싱 코스 위험 구간
550, 490, 70, 15
1100, 480, 75, 15
1700, 485, 70, 15
2300, 490, 75, 15
2900, 480, 70, 15
3500, 485, 75, 15
4100, 490, 70, 15

[SPIKES]
# x, y, width, height
# 레이싱 코스 장애물
350, 520, 40, 30
900, 520, 40, 30
1500, 520, 40, 30
2100, 520, 40, 30
2700, 520, 40, 30
3300, 520, 40, 30
3900, 520, 40, 30
4500, 520, 40, 30

[BUBBLE_SPAWNERS]
# 지상 레이싱이므로 버블 없음

[GOAL]
# x, y, width, height
4900, 500, 40, 40
